Año,Mes, Siniestro ocurrido 
2018,10," 40,610.39 "
2019,11," 346,086.59 "
2019,2," 106,625.81 "
2018,9," 445,238.48 "
2017,11," 179,425.91 "
2019,4," 165,939.00 "
2019,6," 200,563.15 "
2016,1," 216,296.99 "
2016,6," 1,479,422.62 "
2019,8," 179,949.26 "
2019,9," 227,275.29 "
2019,1," 30,141.07 "
2018,7," 641,416.77 "
2017,4," 446,547.08 "
2018,6," 145,479.22 "
2019,12," 279,575.27 "
2018,12," 293,233.99 "
2020,1," 370,641.37 "
2019,2," 322,809.45 "
2018,1," 215,649.62 "
2018,9," 254,165.24 "
2019,11," 255,164.09 "
2019,5," 102,939.03 "
2017,4," 760,217.95 "
2019,11," 375,693.95 "
2018,4," 694,420.44 "
2017,11," 154,843.94 "
2020,7," 125,630.91 "
2019,9," 934,425.72 "
2020,8," 51,335.77 "
2019,9," 94,905.36 "
2016,12," 362,511.74 "
2017,11," 200,248.54 "
2018,10," 745,453.61 "
2017,1," 718,685.93 "
2019,2," 153,883.30 "
2020,7," 444,277.58 "
2017,8," 364,501.65 "
2017,1," 241,956.49 "
2019,1," 353,378.23 "
2019,11," 272,630.07 "
2020,9," 132,626.82 "
2019,5," 1,296,892.01 "
2019,1," 125,141.37 "
2017,9," 257,583.50 "
2019,2," 308,904.44 "
2019,9," 79,903.93 "
2019,1," 920,724.55 "
2017,6," 39,599.79 "
2018,12," 758,070.87 "
2019,10," 2,075,915.97 "
2019,5," 131,034.03 "
2018,8," 307,038.19 "
2019,3," 279,675.62 "
2018,12," 375,512.98 "
2018,6," 1,010,176.36 "
2019,12," 115,774.21 "
2019,2," 172,982.94 "
2018,9," 107,400.48 "
2017,9," 202,496.19 "
2019,6," 254,752.94 "
2019,1," 378,097.85 "
2019,7," 1,031,065.80 "
2016,7," 331,098.60 "
2019,5," 249,538.22 "
2019,11," 619,051.13 "
2018,2," 316,972.53 "
2019,11," 2,973,430.89 "
2016,11," 1,113,449.13 "
2016,12," 2,311,988.63 "
2019,6," 849,856.76 "
2019,6," 362,044.57 "
2018,3," 64,503.51 "
2018,7," 189,022.04 "
2016,12," 2,077,477.38 "
2019,12," 280,046.36 "
2019,3," 249,758.78 "
2018,4," 214,298.79 "
2017,11," 516,018.83 "
2020,1," 705,235.39 "
2017,4," 470,670.01 "
2017,5," 400,459.01 "
2017,9," 1,017,590.25 "
2018,12," 399,500.52 "
2019,12," 176,349.20 "
2019,7," 901,106.39 "
2019,1," 740,838.70 "
2017,2," 972,213.44 "
2019,1," 235,612.64 "
2019,1," 123,375.91 "
2019,7," 68,182.96 "
2018,7," 163,024.89 "
2018,8," 510,880.94 "
2016,2," 160,474.10 "
2019,5," 118,851.14 "
2017,11," 11,354.79 "
2016,10," 145,249.66 "
2019,11," 620,983.47 "
2018,11," 97,133.93 "
2016,9," 736,537.41 "
2019,4," 361,945.98 "
2018,9," 1,166,409.45 "
2018,10," 871,620.16 "
2018,11," 85,143.74 "
2018,5," 284,600.68 "
2018,1," 241,124.21 "
2016,11," 508,837.06 "
2018,4," 363,032.36 "
2017,2," 832,240.75 "
2018,6," 258,567.23 "
2018,12," 259,316.93 "
2017,3," 346,324.16 "
2020,1," 159,186.07 "
2019,8," 638,975.73 "
2018,2," 277,950.32 "
2016,9," 728,707.06 "
2017,9," 940,635.19 "
2018,4," 200,951.92 "
2018,5," 285,234.91 "
2017,1," 352,593.23 "
2019,9," 397,839.20 "
2018,9," 3,222,613.74 "
2020,7," 418,854.81 "
2017,8," 960,985.71 "
2018,8," 697,212.67 "
2018,11," 55,981.62 "
2018,12," 388,374.22 "
2018,12," 820,613.39 "
2019,1," 602,238.33 "
2019,10," 1,817,747.77 "
2019,2," 319,332.69 "
2017,1," 656,156.89 "
2018,9," 623,455.97 "
2018,10," 141,991.29 "
2018,10," 308,812.52 "
2018,1," 113,654.64 "
2018,2," 745,725.25 "
